data,hora,BPM
8/01/2023,01:13:14,60
8/01/2023,01:13:31,62
8/01/2023,01:13:46,63
8/01/2023,01:14:01,59
8/01/2023,01:14:17,60
8/01/2023,01:14:32,58
8/01/2023,01:14:47,61
8/01/2023,01:15:02,65
8/01/2023,01:15:17,63
8/01/2023,01:15:32,63
8/01/2023,01:15:47,60
8/01/2023,01:16:02,58
8/01/2023,01:16:18,70
8/01/2023,01:16:33,63
8/01/2023,01:16:48,65
8/01/2023,01:17:03,60
8/01/2023,01:17:18,63
8/01/2023,01:17:33,62
8/01/2023,01:17:48,58
8/01/2023,01:18:03,66
8/01/2023,01:18:18,71
8/01/2023,01:18:33,70
8/01/2023,01:18:48,65
8/01/2023,01:19:03,68
8/01/2023,01:19:18,70
8/01/2023,01:19:33,65
8/01/2023,01:19:48,63
8/01/2023,01:20:03,70
8/01/2023,01:20:18,65
8/01/2023,01:20:33,65
8/01/2023,01:20:48,63
8/01/2023,01:21:03,66
8/01/2023,01:21:18,70
8/01/2023,01:21:33,63
8/01/2023,01:21:48,65
8/01/2023,01:22:03,62
8/01/2023,01:22:18,65
8/01/2023,01:22:33,60
8/01/2023,01:22:48,68
8/01/2023,01:23:03,71
8/01/2023,01:23:18,67
8/01/2023,01:23:33,65
8/01/2023,01:23:48,63
8/01/2023,01:24:03,70
8/01/2023,01:24:18,68
8/01/2023,01:24:33,67
8/01/2023,01:24:48,60
8/01/2023,01:25:03,62
8/01/2023,01:25:18,60
8/01/2023,01:25:33,65
8/01/2023,01:25:48,61